acs_id,tract_name,tract_code,acs_tract,boro_code,boro,acs_county,boro_tract_code,CDEligibil,NTACode,PUMA,Shape_Leng,Shape_Area,acs_tract_code,acs_total_pop_est,acs_pct_poc,acs_pct_one_race_est,acs_pct_white_est,acs_pct_black_est,acs_pct_native&alaskan_est,acs_pct_asain_est,acs_pct_hawaiian&pi_est,acs_pct_others_est,acs_pct_two_or_more_races_est,acs_pct_hisp_lat_est,acs_pct_non-hisp_lat_white_est,acs_pct_below_100_pct_below_poverty_level_est,acs_pct_100-149_pct_above_poverty_level_est,acs_pct_150+_pct_above_poverty_level_est,acs_pct_native_born_est,acs_pct_foreign_born_est,tract_arrest_counts
1400000US36005015800,Schuylerville-Throgs Neck-Edgewater Park,015800,158,2,Bronx,Bronx County,2015800,I,BX52,3703,5918.690944,1751816.326,15800,1314,59.5,97.8,51.1,3.1,0,3.8,0,39.7,2.2,51.7,40.5,18.2,1.2,80.5,71.77,3.58,0
1400000US36061003001,Chinatown,003001,30.01,1,Manhattan,New York County,1003001,E,MN27,3809,4758.460807,1344750.539,3001,3815,45.4,92.8,65.9,6.4,0,13.9,0,6.6,7.2,19.6,54.6,17.8,2.6,79.6,70.04,1.86,2
1400000US36081015200,Schuylerville-Throgs Neck-Edgewater Park,015200,152,2,Bronx,Queens County,2015200,E,BX52,3703,8887.222307,3151751.282,15200,2822,96.3,95,12.3,19.3,0,32.2,0,31.3,5,28.8,3.7,12.3,17.7,70,37.03,3.33,0
1400000US36081058200,Homecrest,058200,582,3,Brooklyn,Queens County,3058200,E,BK25,4016,5388.123107,1738266.687,58200,4838,97.7,98.3,2.7,80.4,0,3.5,0,11.7,1.7,9.4,2.3,5.2,5.3,89.5,54.67,0.66,0
1400000US36047083400,East Flatbush-Farragut,083400,834,3,Brooklyn,Kings County,3083400,I,BK91,4010,4991.015983,1355748.334,83400,1745,100,97.7,0,91.7,0,6,0,0,2.3,1.9,0,15.7,7.4,76.9,49.74,0.23,1
1400000US36047085400,East Flatbush-Farragut,085400,854,3,Brooklyn,Kings County,3085400,E,BK91,4010,7324.94806,1385790.038,85400,1966,96.9,98.6,5,86.6,0,0.3,0,6.7,1.4,16.4,3.1,20.7,4.2,75,48.42,2.29,2
1400000US36005022403,Pelham Parkway,022403,224.03,2,Bronx,Bronx County,2022403,E,BX49,3704,5656.252765,1338120.967,22403,3194,80.2,95.1,26.8,26,0.8,0.8,0,40.8,4.9,53.9,19.8,17.5,7.5,75,51.94,17.28,0
1400000US36081001600,Chinatown,001600,16,1,Manhattan,Queens County,1001600,I,MN27,3809,6391.788333,2233319.594,1600,2420,89.6,86.9,29.7,6.2,0,21.2,0,29.8,13.1,56,10.4,5,10.3,84.8,45.66,6.57,1
1400000US36047046201,Flatbush,046201,462.01,3,Brooklyn,Kings County,3046201,E,BK42,4015,4984.099227,1381203.775,46201,2281,19.5,99.4,82.2,0.7,0,14.8,0,1.8,0.6,3.1,80.5,15.7,29.7,54.7,52.56,0,0
1400000US36081044800,Woodlawn-Wakefield,044800,448,2,Bronx,Queens County,2044800,I,BX62,3702,5439.258676,1817406.946,44800,2809,94,88.8,10,2.7,1.7,51.4,0,23,11.2,26.3,6,26.6,10.4,62.9,38.23,1.92,0
1400000US36005034400,Allerton-Pelham Gardens,034400,344,2,Bronx,Bronx County,2034400,I,BX31,3704,5823.580992,1690332.846,34400,2172,97.1,96.2,15.8,38,0.6,8.1,0,33.6,3.8,54.4,2.9,15.9,4.4,79.7,51.24,8.38,0
1400000US36047025901,Bedford,025901,259.01,3,Brooklyn,Kings County,3025901,E,BK75,4003,4269.118578,863635.7924,25901,2257,71.8,94.3,35.8,40.7,0,1.6,0,16.2,5.7,32,28.2,25.7,7.9,66.3,70.31,7.8,0
1400000US36047025902,Bedford,025902,259.02,3,Brooklyn,Kings County,3025902,E,BK75,4003,3211.235839,642013.904,25902,3533,100,99.2,10.2,57.3,0,2.9,0,28.9,0.8,49.6,0,60.4,19.8,19.8,69.69,6.17,2
1400000US36005022404,Pelham Parkway,022404,224.04,2,Bronx,Bronx County,2022404,E,BX49,3704,4027.010217,999997.8819,22404,4203,82.3,95.9,28.3,22.2,3.3,5.7,0,36.5,4.1,56.4,17.7,8.7,13.4,77.9,52.75,15.08,0
1400000US36081094700,College Point,094700,947,4,Queens,Queens County,4094700,E,QN23,4103,8723.378829,2935620.794,94700,2202,61.4,99,47.9,1.2,0,13.9,0,36,1,46.9,38.6,13.3,11.4,75.3,51.77,1.04,0
1400000US36047098200,Canarsie,098200,982,3,Brooklyn,Kings County,3098200,E,BK50,4009,8952.013164,3723765.687,98200,4532,100,99.8,6,80.9,0,0.5,0,12.5,0.2,21.8,0,50.9,18.3,30.8,79.85,7.17,3
1400000US36081003000,Bay Ridge,003000,30,3,Brooklyn,Queens County,3003000,I,BK31,4013,4715.150747,1174204.916,3000,1524,74.4,93.1,52.2,4.3,0,16.2,0,20.3,6.9,49.6,25.6,14.5,5.1,80.4,46.52,2.49,1
1400000US36081140300,Bayside-Bayside Hills,140300,1403,4,Queens,Queens County,4140300,I,QN46,4104,8235.135042,4116709.275,140300,2344,68.3,100,36.5,0.4,0.3,61.3,0,1.5,0,6.2,31.7,3.2,6.1,90.7,41.68,1.96,0
1400000US36081061302,Ridgewood,061302,613.02,4,Queens,Queens County,4061302,I,QN20,4110,10370.46084,5511490.944,61302,0,,,,,,,,,,,,,,,,,0
1400000US36081062300,Glendale,062300,623,4,Queens,Queens County,4062300,I,QN19,4110,5381.883643,1688804.282,62300,2246,40.9,99.8,90.4,6.5,0,0.7,0,2.1,0.2,35,59.1,6.9,2.8,90.3,67.41,1.25,0
1400000US36081062500,Glendale,062500,625,4,Queens,Queens County,4062500,I,QN19,4110,6042.809976,2137199.214,62500,2692,40.3,98.8,92.5,3.9,0,0.3,0,2.1,1.2,38.3,59.7,4.9,4.8,90.2,64.15,1.97,0
1400000US36081074500,Forest Hills,074500,745,4,Queens,Queens County,4074500,E,QN17,4108,6396.995601,1805456.962,74500,4014,39.3,96.8,68.7,5.7,0,16.6,0,5.8,3.2,16,60.7,15.1,11,73.9,40.18,0,1
1400000US36081114100,Murray Hill,114100,1141,4,Queens,Queens County,4114100,I,QN51,4103,9904.913398,4816036.021,114100,2362,57,99,49.7,1.4,0,45.5,0,2.5,1,10.5,43,7.9,4.3,87.8,57.66,1.06,0
1400000US36081045000,Briarwood-Jamaica Hills,045000,450,4,Queens,Queens County,4045000,E,QN35,4106,5557.305799,1819154.133,45000,2167,81.3,93.9,23.7,11,0,46.7,0,12.5,6.1,19.8,18.7,8.4,1,90.6,44.16,0.74,0
1400000US36081122300,Pomonok-Flushing Heights-Hillcrest,122300,1223,4,Queens,Queens County,4122300,I,QN38,4106,11300.01877,5271319.382,122300,3438,72.3,98,36.6,0.3,0,50.8,0,10.4,2,19.9,27.7,10.7,8.8,80.5,45.29,2.33,0
1400000US36081134100,Fresh Meadows-Utopia,134100,1341,4,Queens,Queens County,4134100,I,QN41,4106,12584.1866,6340103.116,134100,3358,73.9,97.6,42.6,0.8,0,50.5,0,3.8,2.4,19.6,26.1,11.3,9.9,78.9,44.4,2.92,0
1400000US36047036002,Brighton Beach,036002,360.02,3,Brooklyn,Kings County,3036002,E,BK19,4018,3860.148355,924220.9318,36002,4074,9.6,93.1,90.7,0.4,0,2,0,0,6.9,0.4,90.4,39.4,8.8,51.7,17.92,0,0
1400000US36081056100,Greenpoint,056100,561,3,Brooklyn,Queens County,3056100,I,BK76,4001,8469.794572,3577947.7,56100,17,100,100,52.9,0,0,47.1,0,0,0,52.9,0,0,0,100,29.41,0,0
1400000US36005033201,Bronxdale,033201,332.01,2,Bronx,Bronx County,2033201,E,BX07,3704,4758.788927,1224202.477,33201,5564,85,97.5,41.3,15.9,0,1.4,0,39,2.5,71.6,15,23.6,9.8,66.6,60.03,8.14,1
1400000US36081015200,Richmond Hill,015200,152,4,Queens,Queens County,4015200,I,QN54,4111,6784.121619,2073445.954,15200,2822,96.3,95,12.3,19.3,0,32.2,0,31.3,5,28.8,3.7,12.3,17.7,70,37.03,3.33,0
1400000US36047093200,East Flatbush-Farragut,093200,932,3,Brooklyn,Kings County,3093200,I,BK91,4010,6930.881117,3019000.008,93200,1124,97.7,100,3.1,93.5,0,2.8,0,0.6,0,3.4,2.3,7.1,2.8,90.1,25.36,4.54,2
